drug_name,disease_name,protein_name
gepirone,major depressive disorder,5-hydroxytryptamine receptor 1a
tramadol,pain,opioid receptor mu 1
trimethadione,absence epilepsy,calcium voltage-gated channel subunit alpha1 g
apalutamide,prostate cancer,androgen receptor
aminoglutethimide,breast neoplasm,cytochrome p450 family 19 subfamily a member 1
anastrozole,breast neoplasm,cytochrome p450 family 19 subfamily a member 1
etizolam,anxiety disorder,gamma-aminobutyric acid type a receptor subunit alpha1
sulfasalazine,ulcerative colitis,arachidonate 5-lipoxygenase
vinpocetine,dementia,phosphodiesterase 1a
glutethimide,insomnia,gamma-aminobutyric acid type a receptor subunit alpha1
fomepizole,acidosis disorder,"alcohol dehydrogenase 1a (class i), alpha polypeptide"
afamelanotide,erythropoietic protoporphyria,melanocortin 1 receptor
voclosporin,uveitis,"protein phosphatase 3 regulatory subunit b, alpha"
cobicistat,hiv infectious disease,cytochrome p450 family 3 subfamily a member 43
medrysone,uveitis,nuclear receptor subfamily 3 group c member 1
medrysone,atopic conjunctivitis,nuclear receptor subfamily 3 group c member 1
medrysone,iritis,nuclear receptor subfamily 3 group c member 1
medrysone,iridocyclitis,nuclear receptor subfamily 3 group c member 1
diflunisal,osteoarthritis,prostaglandin-endoperoxide synthase 1
diflunisal,osteoarthritis,prostaglandin-endoperoxide synthase 2
diflunisal,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
diflunisal,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
diflunisal,pain,prostaglandin-endoperoxide synthase 1
diflunisal,pain,prostaglandin-endoperoxide synthase 2
diflunisal,chronic pain,prostaglandin-endoperoxide synthase 1
diflunisal,chronic pain,prostaglandin-endoperoxide synthase 2
polythiazide,hypertensive disorder,solute carrier family 12 member 3
mepyramine,atopic conjunctivitis,histamine receptor h1
mepyramine,seasonal allergic rhinitis,histamine receptor h1
mepyramine,sneeze,histamine receptor h1
mepyramine,allergic rhinitis,histamine receptor h1
mepyramine,dysmenorrhea,histamine receptor h1
mepyramine,vasomotor rhinitis,histamine receptor h1
mepyramine,urticaria,histamine receptor h1
mepyramine,pruritus,histamine receptor h1
azilsartan medoxomil,hypertensive disorder,angiotensin ii receptor type 1
teriflunomide,multiple sclerosis,dihydroorotate dehydrogenase (quinone)
hydroxocobalamin,vitamin b12 deficiency,5-methyltetrahydrofolate-homocysteine methyltransferase
hydroxocobalamin,vitamin b12 deficiency,methylmalonyl-coa mutase
hydroxocobalamin,vitamin deficiency disorder,5-methyltetrahydrofolate-homocysteine methyltransferase
hydroxocobalamin,vitamin deficiency disorder,methylmalonyl-coa mutase
hydroxocobalamin,pernicious anemia,5-methyltetrahydrofolate-homocysteine methyltransferase
formoterol,pulmonary emphysema,adrenoceptor beta 2
bromocriptine,acromegaly,dopamine receptor d2
bromocriptine,acromegaly,dopamine receptor d3
bromocriptine,postencephalitic parkinson disease,dopamine receptor d2
bromocriptine,postencephalitic parkinson disease,dopamine receptor d3
bromocriptine,parkinson disease,dopamine receptor d2
bromocriptine,parkinson disease,dopamine receptor d3
bromocriptine,hyperprolactinemia,dopamine receptor d2
bromocriptine,hyperprolactinemia,dopamine receptor d3
pramipexole,parkinson disease,dopamine receptor d2
pramipexole,parkinson disease,dopamine receptor d3
pramipexole,parkinson disease,dopamine receptor d4
pramipexole,restless legs syndrome,dopamine receptor d2
pramipexole,restless legs syndrome,dopamine receptor d3
pramipexole,restless legs syndrome,dopamine receptor d4
spironolactone,hyperaldosteronism,nuclear receptor subfamily 3 group c member 2
spironolactone,edema,nuclear receptor subfamily 3 group c member 2
spironolactone,ascites,nuclear receptor subfamily 3 group c member 2
spironolactone,hypertensive disorder,nuclear receptor subfamily 3 group c member 2
amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha1
amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha2
amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha3
amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha4
amobarbital,status epilepticus,gamma-aminobutyric acid type a receptor subunit alpha5
amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha1
amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha2
amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha3
amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha4
amobarbital,epilepsy,gamma-aminobutyric acid type a receptor subunit alpha5
saxagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
eletriptan,migraine disorder,5-hydroxytryptamine receptor 1d
eletriptan,migraine disorder,5-hydroxytryptamine receptor 1b
eletriptan,migraine disorder,5-hydroxytryptamine receptor 2a
eletriptan,migraine disorder,5-hydroxytryptamine receptor 1a
terbutaline,pulmonary emphysema,adrenoceptor beta 2
terbutaline,pulmonary emphysema,adrenoceptor beta 3
terbutaline,pruritus,adrenoceptor beta 2
terbutaline,pruritus,adrenoceptor beta 3
terbutaline,asthma,adrenoceptor beta 2
terbutaline,asthma,adrenoceptor beta 3
terbutaline,bronchitis,adrenoceptor beta 2
terbutaline,bronchitis,adrenoceptor beta 3
belotecan,non-small cell lung carcinoma,dna topoisomerase i
belotecan,ovarian cancer,dna topoisomerase i
amphetamine,obesity disorder,solute carrier family 18 member a2
amphetamine,obesity disorder,trace amine associated receptor 1
amphetamine,obesity disorder,cart prepropeptide
amphetamine,narcolepsy,solute carrier family 18 member a2
amphetamine,narcolepsy,trace amine associated receptor 1
amphetamine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 18 member a2
amphetamine,"attention deficit hyperactivity disorder, inattentive type",trace amine associated receptor 1
cinnarizine,nausea,histamine receptor h1
cinnarizine,central nervous system origin vertigo,histamine receptor h1
cinnarizine,motion sickness,histamine receptor h1
carmofur,colonic neoplasm,n-acylsphingosine amidohydrolase 1
topiroxostat,hyperuricemia,xanthine dehydrogenase
topiroxostat,hyperuricemia,atp binding cassette subfamily g member 2 (jr blood group)
topiroxostat,gout,xanthine dehydrogenase
topiroxostat,gout,atp binding cassette subfamily g member 2 (jr blood group)
leuprolide,endometriosis,gonadotropin releasing hormone receptor
leuprolide,precocious puberty,gonadotropin releasing hormone receptor
glimepiride,type 2 diabetes mellitus,potassium inwardly rectifying channel subfamily j member 11
glimepiride,type 2 diabetes mellitus,potassium inwardly rectifying channel subfamily j member 1
loxapine,schizophrenia,dopamine receptor d2
loxapine,schizophrenia,5-hydroxytryptamine receptor 2a
loxapine,bipolar disorder,dopamine receptor d2
loxapine,bipolar disorder,5-hydroxytryptamine receptor 2a
oxaprozin,osteoarthritis,prostaglandin-endoperoxide synthase 1
oxaprozin,osteoarthritis,prostaglandin-endoperoxide synthase 2
oxaprozin,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 1
oxaprozin,juvenile idiopathic arthritis,prostaglandin-endoperoxide synthase 2
oxaprozin,rheumatoid arthritis,prostaglandin-endoperoxide synthase 1
oxaprozin,rheumatoid arthritis,prostaglandin-endoperoxide synthase 2
pimozide,tourette syndrome,dopamine receptor d3
dehydroepiandrosterone,psychologic dyspareunia,estrogen receptor 1
dehydroepiandrosterone,psychologic dyspareunia,estrogen receptor 2
dehydroepiandrosterone,psychologic dyspareunia,androgen receptor
dehydroepiandrosterone,systemic lupus erythematosus,androgen receptor
omacetaxine mepesuccinate,"chronic myelogenous leukemia, bcr-abl1 positive",ribosomal protein l3
anagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
clemastine,urticaria,histamine receptor h1
clemastine,pruritus,histamine receptor h1
clemastine,sneeze,histamine receptor h1
clemastine,vasomotor rhinitis,histamine receptor h1
clemastine,allergic rhinitis,histamine receptor h1
clemastine,atopic conjunctivitis,histamine receptor h1
sapropterin,phenylketonuria,phenylalanine hydroxylase
insulin detemir,diabetes mellitus,insulin receptor
benzbromarone,hyperuricemia,solute carrier family 22 member 12
benzbromarone,gout,solute carrier family 22 member 12
phendimetrazine,obesity disorder,adrenoceptor alpha 1a
phendimetrazine,obesity disorder,adrenoceptor alpha 1b
phendimetrazine,obesity disorder,solute carrier family 6 member 2
valproic acid,absence epilepsy,aldehyde dehydrogenase 5 family member a1
valproic acid,absence epilepsy,histone deacetylase 9
valproic acid,bipolar disorder,myristoylated alanine rich protein kinase c substrate
valproic acid,epilepsy,histone deacetylase 9
valproic acid,migraine disorder,solute carrier family 27 member 2
levomethadyl acetate,opiate dependence,opioid receptor mu 1
bunolol,open-angle glaucoma,adrenoceptor beta 1
bunolol,open-angle glaucoma,adrenoceptor beta 2
bunolol,ocular hypertension,adrenoceptor beta 1
bunolol,ocular hypertension,adrenoceptor beta 2
clopidogrel,acute coronary syndrome,purinergic receptor p2y12
clopidogrel,intracranial embolism,purinergic receptor p2y12
carbetocin,post-partum hemorrhage,oxytocin receptor
brompheniramine,seasonal allergic rhinitis,histamine receptor h1
brompheniramine,urticaria,histamine receptor h1
brompheniramine,pruritus,histamine receptor h1
brompheniramine,atopic conjunctivitis,histamine receptor h1
brompheniramine,vasomotor rhinitis,histamine receptor h1
brompheniramine,allergic rhinitis,histamine receptor h1
belotecan,ovarian cancer,thymidylate synthetase
belotecan,ovarian cancer,cytidine/uridine monophosphate kinase 1
belotecan,ovarian cancer,ribonucleotide reductase catalytic subunit m1
belotecan,non-small cell lung carcinoma,thymidylate synthetase
belotecan,non-small cell lung carcinoma,cytidine/uridine monophosphate kinase 1
belotecan,non-small cell lung carcinoma,ribonucleotide reductase catalytic subunit m1
fentanyl,pain,opioid receptor mu 1
fentanyl,pain,opioid receptor delta 1
bitolterol,bronchitis,adrenoceptor beta 2
bitolterol,bronchiectasis,adrenoceptor beta 2
bitolterol,asthma,adrenoceptor beta 2
bitolterol,pulmonary emphysema,adrenoceptor beta 2
diazoxide,pancreatic insulinoma,potassium inwardly rectifying channel subfamily j member 11
diazoxide,hyperinsulinism,potassium inwardly rectifying channel subfamily j member 11
diazoxide,islet cell adenomatosis,potassium inwardly rectifying channel subfamily j member 11
floctafenine,acute pain,prostaglandin-endoperoxide synthase 1
floctafenine,acute pain,prostaglandin-endoperoxide synthase 2
umeclidinium,chronic obstructive pulmonary disease,cholinergic receptor muscarinic 2
umeclidinium,chronic obstructive pulmonary disease,cholinergic receptor muscarinic 3
acrivastine,vasomotor rhinitis,histamine receptor h1
acrivastine,atopic conjunctivitis,histamine receptor h1
acrivastine,seasonal allergic rhinitis,histamine receptor h1
acrivastine,sneeze,histamine receptor h1
acrivastine,common cold,histamine receptor h1
acrivastine,allergic rhinitis,histamine receptor h1
oxytocin,post-partum hemorrhage,oxytocin receptor
ribavirin,chronic hepatitis c virus infection,inosine monophosphate dehydrogenase 1
ribavirin,respiratory syncytial virus infectious disease,inosine monophosphate dehydrogenase 1
butenafine,tinea pedis,squalene epoxidase
butenafine,pityriasis versicolor,squalene epoxidase
regorafenib,gastrointestinal stromal tumor,"kit proto-oncogene, receptor tyrosine kinase"
regorafenib,gastrointestinal stromal tumor,platelet derived growth factor receptor alpha
regorafenib,hepatocellular carcinoma,"raf-1 proto-oncogene, serine/threonine kinase"
regorafenib,hepatocellular carcinoma,"b-raf proto-oncogene, serine/threonine kinase"
regorafenib,hepatocellular carcinoma,platelet derived growth factor receptor alpha
regorafenib,hepatocellular carcinoma,fibroblast growth factor receptor 1
regorafenib,hepatocellular carcinoma,fms related receptor tyrosine kinase 1
regorafenib,hepatocellular carcinoma,kinase insert domain receptor
selexipag,pulmonary arterial hypertension,prostaglandin i2 receptor
mizolastine,allergic rhinitis,histamine receptor h1
carbenoxolone,peptic ulcer disease,hydroxysteroid 11-beta dehydrogenase 1
carbenoxolone,peptic ulcer disease,15-hydroxyprostaglandin dehydrogenase
mizolastine,perennial allergic rhinitis,histamine receptor h1
abiraterone acetate,prostate cancer,cytochrome p450 family 17 subfamily a member 1
abiraterone acetate,prostate cancer,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
abiraterone acetate,prostate cancer,"hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 1"
abiraterone acetate,prostate cancer,cytochrome p450 family 11 subfamily b member 1
abiraterone acetate,prostate cancer,cytochrome p450 family 21 subfamily a member 2
abiraterone acetate,prostate cancer,cytochrome p450 family 1 subfamily a member 2
abiraterone acetate,prostate cancer,cytochrome p450 family 2 subfamily c member 9
abiraterone acetate,prostate cancer,cytochrome p450 family 3 subfamily a member 4
abiraterone acetate,prostate cancer,androgen receptor
venlafaxine,panic disorder,solute carrier family 6 member 4
venlafaxine,panic disorder,solute carrier family 6 member 2
venlafaxine,social phobia,solute carrier family 6 member 4
venlafaxine,social phobia,solute carrier family 6 member 2
venlafaxine,social phobia,solute carrier family 6 member 3
venlafaxine,major depressive disorder,solute carrier family 6 member 4
venlafaxine,major depressive disorder,solute carrier family 6 member 2
venlafaxine,major depressive disorder,solute carrier family 6 member 3
amoxapine,depressive disorder,solute carrier family 6 member 4
venlafaxine,depressive disorder,solute carrier family 6 member 2
amoxapine,depressive disorder,dopamine receptor d1
tulobuterol,asthma,adrenoceptor beta 2
tulobuterol,pulmonary emphysema,adrenoceptor beta 2
rupatadine,allergic rhinitis,histamine receptor h1
rupatadine,allergic rhinitis,platelet activating factor receptor
rupatadine,urticaria,histamine receptor h1
rupatadine,urticaria,platelet activating factor receptor
clobetasone,atopic eczema,nuclear receptor subfamily 3 group c member 1
clobetasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
defibrotide,hepatic veno-occlusive disease,"plasminogen activator, tissue type"
defibrotide,hepatic veno-occlusive disease,serpin family e member 1
celiprolol,hypertensive disorder,adrenoceptor beta 1
celiprolol,hypertensive disorder,adrenoceptor beta 2
celiprolol,angina pectoris,adrenoceptor beta 1
celiprolol,angina pectoris,adrenoceptor beta 2
physostigmine,open-angle glaucoma,acetylcholinesterase (yt blood group)
vigabatrin,west syndrome,4-aminobutyrate aminotransferase
linagliptin,type 2 diabetes mellitus,dipeptidyl peptidase 4
oxyphencyclimine,peptic ulcer disease,cholinergic receptor muscarinic 3
propylthiouracil,hyperthyroidism,thyroid peroxidase
propylthiouracil,thyroid crisis,thyroid peroxidase
butorphanol,pain,opioid receptor kappa 1
butorphanol,pain,opioid receptor delta 1
butorphanol,pain,opioid receptor mu 1
butorphanol,labor pain,opioid receptor kappa 1
butorphanol,labor pain,opioid receptor delta 1
butorphanol,labor pain,opioid receptor mu 1
dextropropoxyphene,pain,opioid receptor mu 1
dextropropoxyphene,pain,opioid receptor delta 1
cilazapril,hypertensive disorder,angiotensin i converting enzyme
icatibant,hereditary angioedema,bradykinin receptor b2
limaprost,thromboangiitis obliterans,prostaglandin e receptor 2
butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha1
butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha2
butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha3
butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha4
butalbital,tension-type headache,gamma-aminobutyric acid type a receptor subunit alpha5
riluzole,amyotrophic lateral sclerosis,sodium voltage-gated channel alpha subunit 5
hydrochlorothiazide,edema,solute carrier family 12 member 3
hydrochlorothiazide,hypertensive disorder,solute carrier family 12 member 3
irbesartan,hypertensive disorder,angiotensin ii receptor type 1
irbesartan,diabetic kidney disease,angiotensin ii receptor type 1
estrone sulphate,postmenopausal atrophic vaginitis,estrogen receptor 1
entacapone,parkinson disease,catechol-o-methyltransferase
"1,25-dihydroxyvitamin d3",hypophosphatemia,vitamin d receptor
"1,25-dihydroxyvitamin d3",hypocalcemia,vitamin d receptor
"1,25-dihydroxyvitamin d3",hypoparathyroidism,vitamin d receptor
"1,25-dihydroxyvitamin d3",renal osteodystrophy,vitamin d receptor
carbachol,open-angle glaucoma,cholinergic receptor nicotinic alpha 2 subunit
tazarotene,acne,retinoic acid receptor alpha
tazarotene,acne,retinoid x receptor beta
tazarotene,acne,retinoic acid receptor gamma
tazarotene,acne,retinoic acid receptor beta
tazarotene,psoriasis,retinoic acid receptor alpha
tazarotene,psoriasis,retinoid x receptor beta
tazarotene,psoriasis,retinoic acid receptor gamma
tazarotene,psoriasis,retinoic acid receptor beta
avanafil,erectile dysfunction,phosphodiesterase 5a
dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4a
dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4b
dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4c
dyphylline,asthma-chronic obstructive pulmonary disease overlap syndrome,phosphodiesterase 4d
dyphylline,chronic bronchitis,phosphodiesterase 4a
dyphylline,chronic bronchitis,phosphodiesterase 4b
dyphylline,chronic bronchitis,phosphodiesterase 4c
dyphylline,chronic bronchitis,phosphodiesterase 4d
dyphylline,bronchial disorder,phosphodiesterase 4a
dyphylline,bronchial disorder,phosphodiesterase 4b
dyphylline,bronchial disorder,phosphodiesterase 4c
dyphylline,bronchial disorder,phosphodiesterase 4d
dyphylline,pulmonary emphysema,phosphodiesterase 4a
dyphylline,pulmonary emphysema,phosphodiesterase 4b
dyphylline,pulmonary emphysema,phosphodiesterase 4c
dyphylline,pulmonary emphysema,phosphodiesterase 4d
dyphylline,asthma,phosphodiesterase 4a
dyphylline,asthma,phosphodiesterase 4b
dyphylline,asthma,phosphodiesterase 4c
dyphylline,asthma,phosphodiesterase 4d
lenvatinib,thyroid gland papillary carcinoma,platelet derived growth factor receptor alpha
lenvatinib,thyroid gland papillary carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
lenvatinib,thyroid gland papillary carcinoma,ret proto-oncogene
lenvatinib,thyroid gland follicular carcinoma,platelet derived growth factor receptor alpha
lenvatinib,thyroid gland follicular carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
lenvatinib,thyroid gland follicular carcinoma,ret proto-oncogene
lenvatinib,renal cell carcinoma,platelet derived growth factor receptor alpha
lenvatinib,renal cell carcinoma,"kit proto-oncogene, receptor tyrosine kinase"
lenvatinib,renal cell carcinoma,ret proto-oncogene
liraglutide,type 2 diabetes mellitus,glucagon like peptide 1 receptor
crizotinib,non-small cell lung carcinoma,alk receptor tyrosine kinase
crizotinib,non-small cell lung carcinoma,"ros proto-oncogene 1, receptor tyrosine kinase"
triflupromazine,psychotic disorder,dopamine receptor d1
triflupromazine,psychotic disorder,dopamine receptor d2
triflupromazine,psychotic disorder,cholinergic receptor muscarinic 1
triflupromazine,psychotic disorder,cholinergic receptor muscarinic 2
triflupromazine,psychotic disorder,5-hydroxytryptamine receptor 2b
triflupromazine,vomiting,dopamine receptor d2
triflupromazine,nausea,dopamine receptor d2
buprenorphine,chronic pain,opioid receptor mu 1
buprenorphine,chronic pain,opioid receptor kappa 1
buprenorphine,opiate dependence,opioid receptor mu 1
buprenorphine,opiate dependence,opioid receptor kappa 1
nebivolol,hypertensive disorder,adrenoceptor beta 1
papaverine,peripheral vascular disease,phosphodiesterase 4b
pioglitazone,type 2 diabetes mellitus,peroxisome proliferator activated receptor gamma
sotalol,atrial fibrillation,adrenoceptor beta 1
sotalol,atrial fibrillation,adrenoceptor beta 2
sotalol,atrial fibrillation,potassium voltage-gated channel subfamily h member 2
sufentanil,post-operative pain,opioid receptor mu 1
tirofiban,acute coronary syndrome,integrin subunit alpha 2b
tirofiban,acute coronary syndrome,integrin subunit beta 3
valrubicin,urinary bladder neoplasm,dna topoisomerase ii alpha
cabergoline,hyperprolactinemia,dopamine receptor d2
atomoxetine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 6 member 2
estradiol valerate,premenstrual dysphoric disorder,estrogen receptor 1
estradiol valerate,premenstrual dysphoric disorder,estrogen receptor 2
estradiol valerate,hot flashes,estrogen receptor 1
estradiol valerate,hot flashes,estrogen receptor 2
estradiol valerate,postmenopausal osteoporosis,estrogen receptor 1
estradiol valerate,postmenopausal osteoporosis,estrogen receptor 2
estradiol valerate,postmenopausal atrophic vaginitis,estrogen receptor 1
estradiol valerate,postmenopausal atrophic vaginitis,estrogen receptor 2
estradiol valerate,acne,estrogen receptor 1
estradiol valerate,acne,estrogen receptor 2
metformin,type 2 diabetes mellitus,electron transfer flavoprotein dehydrogenase
methamphetamine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 6 member 2
methamphetamine,"attention deficit hyperactivity disorder, inattentive type",solute carrier family 6 member 3
methamphetamine,"attention deficit hyperactivity disorder, inattentive type",monoamine oxidase b
methamphetamine,"attention deficit hyperactivity disorder, inattentive type",monoamine oxidase a
mebendazole,trichuriasis,tubulin alpha 1a
mebendazole,trichuriasis,tubulin beta 4b class ivb
mebendazole,ascariasis,tubulin alpha 1a
mebendazole,ascariasis,tubulin beta 4b class ivb
mebendazole,enterobiasis,tubulin alpha 1a
mebendazole,enterobiasis,tubulin beta 4b class ivb
prednicarbate,neurodermatitis,nuclear receptor subfamily 3 group c member 1
prednicarbate,pruritus ani,nuclear receptor subfamily 3 group c member 1
prednicarbate,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
prednicarbate,contact dermatitis,nuclear receptor subfamily 3 group c member 1
prednicarbate,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
prednicarbate,granuloma annulare,nuclear receptor subfamily 3 group c member 1
prednicarbate,exanthem,nuclear receptor subfamily 3 group c member 1
prednicarbate,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
prednicarbate,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
metoclopramide,gastroesophageal reflux disease,dopamine receptor d2
metoclopramide,gastroesophageal reflux disease,cholinergic receptor muscarinic 1
metoclopramide,gastroesophageal reflux disease,5-hydroxytryptamine receptor 4
fesoterodine,urge incontinence,cholinergic receptor muscarinic 3
chlorthalidone,hypertensive disorder,solute carrier family 12 member 1
chlorthalidone,edema,solute carrier family 12 member 1
nicardipine,angina pectoris,calcium voltage-gated channel subunit alpha1 c
nicardipine,angina pectoris,calcium voltage-gated channel auxiliary subunit beta 2
nicardipine,angina pectoris,calcium voltage-gated channel auxiliary subunit alpha2delta 1
nicardipine,angina pectoris,calcium voltage-gated channel subunit alpha1 d
nicardipine,hypertensive disorder,calcium voltage-gated channel subunit alpha1 c
nicardipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit beta 2
nicardipine,hypertensive disorder,calcium voltage-gated channel auxiliary subunit alpha2delta 1
nicardipine,hypertensive disorder,calcium voltage-gated channel subunit alpha1 d
benzphetamine,obesity disorder,adrenoceptor alpha 1a
anakinra,rheumatoid arthritis,interleukin 1 receptor type 1
anakinra,cryopyrin-associated periodic syndrome,interleukin 1 receptor type 1
darifenacin,urge incontinence,cholinergic receptor muscarinic 3
desoximetasone,primary cutaneous t-cell non-hodgkin lymphoma,nuclear receptor subfamily 3 group c member 1
desoximetasone,granuloma annulare,nuclear receptor subfamily 3 group c member 1
desoximetasone,pruritus ani,nuclear receptor subfamily 3 group c member 1
desoximetasone,discoid lupus erythematosus,nuclear receptor subfamily 3 group c member 1
desoximetasone,"dermatitis, atopic",nuclear receptor subfamily 3 group c member 1
desoximetasone,neurodermatitis,nuclear receptor subfamily 3 group c member 1
desoximetasone,contact dermatitis,nuclear receptor subfamily 3 group c member 1
desoximetasone,exanthem,nuclear receptor subfamily 3 group c member 1
desoximetasone,seborrheic dermatitis,nuclear receptor subfamily 3 group c member 1
almotriptan,migraine disorder,5-hydroxytryptamine receptor 1b
almotriptan,migraine disorder,5-hydroxytryptamine receptor 1d
acebutolol,premature ventricular contraction,adrenoceptor beta 1
apraclonidine,open-angle glaucoma,adrenoceptor alpha 2a
eplerenone,hypertensive disorder,nuclear receptor subfamily 3 group c member 2
febuxostat,hyperuricemia,xanthine dehydrogenase
cilastatin,bacterial endocarditis,dipeptidase 1
cilastatin,abdominal abscess,dipeptidase 1
cilastatin,abdominal infection,dipeptidase 1
cilastatin,streptococcal pneumonia,dipeptidase 1
cilastatin,bacterial pneumonia,dipeptidase 1
cilastatin,endometritis,dipeptidase 1
clonidine,hypertensive disorder,adrenoceptor alpha 2a
clonidine,hypertensive disorder,adrenoceptor alpha 2b
clonidine,hypertensive disorder,adrenoceptor alpha 2c
clonidine,"attention deficit hyperactivity disorder, inattentive type",adrenoceptor alpha 2a
clonidine,"attention deficit hyperactivity disorder, inattentive type",adrenoceptor alpha 2b
clonidine,"attention deficit hyperactivity disorder, inattentive type",adrenoceptor alpha 2c
clonidine,open-angle glaucoma,adrenoceptor alpha 2a
clonidine,open-angle glaucoma,adrenoceptor alpha 2b
clonidine,open-angle glaucoma,adrenoceptor alpha 2c
tranexamic acid,endometriosis,plasminogen
