drug_name,drug_id,disease_name,disease_id,gene_name,gene_id
buspirone,CHEBI:3223,generalized anxiety disorder,MONDO:0001942,htr1a,NCBIGene:3350
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabra5,NCBIGene:2558
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabra3,NCBIGene:2556
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabra2,NCBIGene:2555
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabra1,NCBIGene:2554
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabrg2,NCBIGene:2566
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabrb2,NCBIGene:2561
alprazolam,CHEBI:2611,generalized anxiety disorder,MONDO:0001942,gabrb3,NCBIGene:2562
venlafaxine,CHEBI:9943,generalized anxiety disorder,MONDO:0001942,slc6a2,NCBIGene:6530
venlafaxine,CHEBI:9943,generalized anxiety disorder,MONDO:0001942,slc6a4,NCBIGene:6532
o-desmethylvenlafaxine,CHEBI:83527,generalized anxiety disorder,MONDO:0001942,slc6a2,NCBIGene:6530
o-desmethylvenlafaxine,CHEBI:83527,generalized anxiety disorder,MONDO:0001942,slc6a4,NCBIGene:6532
citalopram,CHEBI:3723,generalized anxiety disorder,MONDO:0001942,slc6a2,NCBIGene:6530
citalopram,CHEBI:3723,generalized anxiety disorder,MONDO:0001942,slc6a4,NCBIGene:6532
hydroxychloroquine,CHEBI:5801,plasmodium malariae malaria,MONDO:0001943,tlr7,NCBIGene:51284
hydroxychloroquine,CHEBI:5801,plasmodium malariae malaria,MONDO:0001943,tlr9,NCBIGene:54106
hydroxychloroquine,CHEBI:5801,plasmodium malariae malaria,MONDO:0001943,tmem97,NCBIGene:27346
chloroquine,CHEBI:3638,plasmodium malariae malaria,MONDO:0001943,tlr9,NCBIGene:54106
chloroquine,CHEBI:3638,plasmodium malariae malaria,MONDO:0001943,tmem97,NCBIGene:27346
biperiden,CHEBI:3112,postencephalitic parkinson disease,MONDO:0001945,chrm2,NCBIGene:1129
biperiden,CHEBI:3112,postencephalitic parkinson disease,MONDO:0001945,chrm1,NCBIGene:1128
biperiden,CHEBI:3112,postencephalitic parkinson disease,MONDO:0001945,chrm4,NCBIGene:1132
benzatropine,CHEBI:3048,postencephalitic parkinson disease,MONDO:0001945,slc6a3,NCBIGene:6531
benzatropine,CHEBI:3048,postencephalitic parkinson disease,MONDO:0001945,chrm2,NCBIGene:1129
benzatropine,CHEBI:3048,postencephalitic parkinson disease,MONDO:0001945,chrm1,NCBIGene:1128
procyclidine,CHEBI:8448,postencephalitic parkinson disease,MONDO:0001945,chrm2,NCBIGene:1129
procyclidine,CHEBI:8448,postencephalitic parkinson disease,MONDO:0001945,chrm4,NCBIGene:1132
procyclidine,CHEBI:8448,postencephalitic parkinson disease,MONDO:0001945,chrm1,NCBIGene:1128
carbidopa (anhydrous),CHEBI:39585,postencephalitic parkinson disease,MONDO:0001945,ddc,NCBIGene:1644
bromocriptine,CHEBI:3181,postencephalitic parkinson disease,MONDO:0001945,htr6,NCBIGene:3362
bromocriptine,CHEBI:3181,postencephalitic parkinson disease,MONDO:0001945,drd1,NCBIGene:1812
bromocriptine,CHEBI:3181,postencephalitic parkinson disease,MONDO:0001945,drd3,NCBIGene:1814
bromocriptine,CHEBI:3181,postencephalitic parkinson disease,MONDO:0001945,drd2,NCBIGene:1813
l-dopa,CHEBI:15765,postencephalitic parkinson disease,MONDO:0001945,ddc,NCBIGene:1644
l-dopa,CHEBI:15765,postencephalitic parkinson disease,MONDO:0001945,drd2,NCBIGene:1813
l-dopa,CHEBI:15765,postencephalitic parkinson disease,MONDO:0001945,drd1,NCBIGene:1812
l-dopa,CHEBI:15765,postencephalitic parkinson disease,MONDO:0001945,drd3,NCBIGene:1814
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,drd2,NCBIGene:1813
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,ddc,NCBIGene:1644
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin2b,NCBIGene:2904
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin3b,NCBIGene:116444
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin2c,NCBIGene:2905
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin2a,NCBIGene:2903
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin1,NCBIGene:2902
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin2d,NCBIGene:2906
amantadine,CHEBI:2618,postencephalitic parkinson disease,MONDO:0001945,grin3a,NCBIGene:116443
dextromethorphan,CHEBI:4470,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
dextromethorphan,CHEBI:4470,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
dextromethorphan,CHEBI:4470,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
dextromethorphan,CHEBI:4470,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
dextromethorphan,CHEBI:4470,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
dextromethorphan,CHEBI:4470,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
vilazodone,CHEBI:70707,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
vilazodone,CHEBI:70707,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
vilazodone,CHEBI:70707,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
vilazodone,CHEBI:70707,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
vilazodone,CHEBI:70707,major depressive disorder,MONDO:0002009,htr7,NCBIGene:3363
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr6,NCBIGene:3362
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,adra2c,NCBIGene:152
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,drd3,NCBIGene:1814
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr2b,NCBIGene:3357
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr7,NCBIGene:3363
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr1d,NCBIGene:3352
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
mianserin,CHEBI:51137,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr3a,NCBIGene:3359
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr6,NCBIGene:3362
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,drd3,NCBIGene:1814
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr7,NCBIGene:3363
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,drd4,NCBIGene:1815
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr1b,NCBIGene:3351
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,alb,NCBIGene:213
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr2b,NCBIGene:3357
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,h1-0,NCBIGene:3005
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,adra2c,NCBIGene:152
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,drd5,NCBIGene:1816
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,htr1d,NCBIGene:3352
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,chrm2,NCBIGene:1129
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
olanzapine,CHEBI:7735,major depressive disorder,MONDO:0002009,chrm3,NCBIGene:1131
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,chrm3,NCBIGene:1131
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,chrm2,NCBIGene:1129
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
paroxetine,CHEBI:7936,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
ketamine,CHEBI:6121,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
ketamine,CHEBI:6121,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
ketamine,CHEBI:6121,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
ketamine,CHEBI:6121,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,alb,NCBIGene:213
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,htr2b,NCBIGene:3357
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,chrm2,NCBIGene:1129
fluoxetine,CHEBI:5118,major depressive disorder,MONDO:0002009,chrm3,NCBIGene:1131
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
bupropion,CHEBI:3219,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr6,NCBIGene:3362
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,npy1r,NCBIGene:4886
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr7,NCBIGene:3363
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr2b,NCBIGene:3357
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr1d,NCBIGene:3352
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,chrm2,NCBIGene:1129
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,htr1b,NCBIGene:3351
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
(s)-duloxetine,CHEBI:36795,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
(-)-selegiline,CHEBI:9086,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
(-)-selegiline,CHEBI:9086,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
(-)-selegiline,CHEBI:9086,major depressive disorder,MONDO:0002009,maoa,NCBIGene:4128
(-)-selegiline,CHEBI:9086,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
(-)-selegiline,CHEBI:9086,major depressive disorder,MONDO:0002009,maob,NCBIGene:4129
(-)-selegiline,CHEBI:9086,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
escitalopram,CHEBI:36791,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
citalopram,CHEBI:3723,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr6,NCBIGene:3362
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr1b,NCBIGene:3351
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr3a,NCBIGene:3359
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr7,NCBIGene:3363
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
vortioxetine,CHEBI:76016,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
nefazodone,CHEBI:7494,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,npy1r,NCBIGene:4886
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,htr6,NCBIGene:3362
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
venlafaxine,CHEBI:9943,major depressive disorder,MONDO:0002009,chrm2,NCBIGene:1129
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,abcb1,NCBIGene:5243
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,htr2b,NCBIGene:3357
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
trazodone,CHEBI:9654,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,cyp2c19,NCBIGene:1557
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,maob,NCBIGene:4129
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,maoa,NCBIGene:4128
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
"(1r,2s)-tranylcypromine",CHEBI:131510,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,htr2c,NCBIGene:3358
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,drd2,NCBIGene:1813
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,drd3,NCBIGene:1814
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,drd4,NCBIGene:1815
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,htr2b,NCBIGene:3357
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,adra2c,NCBIGene:152
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,adra1a,NCBIGene:148
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,hrh1,NCBIGene:3269
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,htr3a,NCBIGene:3359
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,cyp2d6,NCBIGene:1565
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,htr7,NCBIGene:3363
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,cyp2c9,NCBIGene:1559
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,adra2a,NCBIGene:150
mirtazapine,CHEBI:6950,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
o-desmethylvenlafaxine,CHEBI:83527,major depressive disorder,MONDO:0002009,slc6a2,NCBIGene:6530
o-desmethylvenlafaxine,CHEBI:83527,major depressive disorder,MONDO:0002009,slc6a4,NCBIGene:6532
o-desmethylvenlafaxine,CHEBI:83527,major depressive disorder,MONDO:0002009,slc6a3,NCBIGene:6531
gepirone,CHEBI:135990,major depressive disorder,MONDO:0002009,htr2a,NCBIGene:3356
gepirone,CHEBI:135990,major depressive disorder,MONDO:0002009,htr1a,NCBIGene:3350
